status	suggested_purchase_treatment	suggested_action	confidence	score	sku	name	category_name	supplier_name	cost	price	track_stock	current_purchase_treatment	inventory_qty	stock_quantity	reason
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	998	GRASA LUBRICANTE CHICA 50 GRS	Grasa	Trip	1590.0	4000.0	True	inventory	1	1	high-signal category: Grasa; chemical/service fluid
candidate	workshop_consumable	review_and_convert	high	8	5013863020035	Grasa Weldtite para piezas de Carbono 50 gr	Grasa	Andes Life	5037.0	9990.0	True	inventory	0	0	high-signal category: Grasa; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	12	S56467	ACEITE MINERAL SHIMANO SM-DBOIL 1000CC BULK KSMDBOILO	Grasa/Aceites/Soluciones/Limpiadores	Andes Industrial	18507.0	45000.0	True	inventory	3	3	high-signal category: Grasa/Aceites/Soluciones/Limpiadores; bulk workshop format; chemical/service fluid
candidate	workshop_consumable	review_and_convert	high	8	67	ACEITE NACIONAL	Grasa/Aceites/Soluciones/Limpiadores	Trip	1100.0	3000.0	True	inventory	0	0	high-signal category: Grasa/Aceites/Soluciones/Limpiadores; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	2854	Aceite Mineral Chepark	Grasa/Aceites/Soluciones/Limpiadores	Vittal	21.4	50.0	True	inventory	1000	1000	high-signal category: Grasa/Aceites/Soluciones/Limpiadores; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	7887	Dot 5.1 Fluid 60ml ezmtb	Grasa/Aceites/Soluciones/Limpiadores	TeknoBike	2270.0	6000.0	True	inventory	1	1	high-signal category: Grasa/Aceites/Soluciones/Limpiadores; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	1559	LIMPIADOR TRIPLE PLATO PP-01	Grasa/Aceites/Soluciones/Limpiadores	RBX	1225.0	3990.0	True	inventory	1	1	high-signal category: Grasa/Aceites/Soluciones/Limpiadores; chemical/service fluid
candidate	workshop_consumable	review_and_convert	high	8	1197	Limpiador Cadena y Piñón Chepark	Grasa/Aceites/Soluciones/Limpiadores	Vittal	16.0	40.0	True	inventory	0	0	high-signal category: Grasa/Aceites/Soluciones/Limpiadores; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	1195	Limpiador Disco de Freno Chepark	Grasa/Aceites/Soluciones/Limpiadores	Vittal	18.0	40.0	True	inventory	750	750	high-signal category: Grasa/Aceites/Soluciones/Limpiadores; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	RL0009	LUBRICANTE CERAMIC RACELUB 50ml	Lubricantes	RaceLub	2700.0	6500.0	True	inventory	1	1	high-signal category: Lubricantes; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	12	RL0008	LUBRICANTE PROLUB RACELUB 500ml	Lubricantes	RaceLub	14900.0	35000.0	True	inventory	1	1	high-signal category: Lubricantes; bulk workshop format; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	RL0010	LUBRICANTE PROLUB RACELUB 50ml	Lubricantes	RaceLub	2400.0	6000.0	True	inventory	2	2	high-signal category: Lubricantes; chemical/service fluid
candidate	workshop_consumable	review_and_convert	high	8	190BIC100P	LUBRICANTE SECO MOD. BIC-100P CHEPARK	Lubricantes	Derman	5579.0	13000.0	True	inventory	0	0	high-signal category: Lubricantes; chemical/service fluid
candidate	workshop_consumable	review_and_convert	high	8	7370	LUBRICANTE THUMBS UP YP901 PEQUEÑO	Lubricantes	RBX	2173.0	5500.0	True	inventory	0	0	high-signal category: Lubricantes; chemical/service fluid
candidate	workshop_consumable	review_and_convert	high	8	8436577100355	Lubricante Cadena Blub Cerámica 120ML	Lubricantes	TeknoBike	5970.0	12990.0	True	inventory	0	0	high-signal category: Lubricantes; chemical/service fluid
candidate	workshop_consumable	review_and_convert	high	8	8436577100058	Lubricante Cadena Blub Wet 15ML	Lubricantes	TeknoBike	2570.0	5990.0	True	inventory	0	0	high-signal category: Lubricantes; chemical/service fluid
candidate	workshop_consumable	review_and_convert	high	8	8436577100027	Lubricante Cadena Blub Wet Lube 120ML	Lubricantes	TeknoBike	5970.0	12200.0	True	inventory	0	0	high-signal category: Lubricantes; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	RL0004	Lubricante CeramicLub	Lubricantes		3850.0	10000.0	True	inventory	2	2	high-signal category: Lubricantes; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	RL0003	Lubricante CleanLub	Lubricantes		2550.0	7000.0	True	inventory	2	2	high-signal category: Lubricantes; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	RL0002	Lubricante EcoLub	Lubricantes		2850.0	7000.0	True	inventory	2	2	high-signal category: Lubricantes; chemical/service fluid
candidate	workshop_consumable	review_and_convert	high	8	RL0005	Lubricante HidroLub	Lubricantes		3950.0	10000.0	True	inventory	0	0	high-signal category: Lubricantes; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	12	4100420060557	Lubricante Liqui Moly Bike Kettenspray 400ml	Lubricantes		6232.5	14990.0	True	inventory	1	1	high-signal category: Lubricantes; bulk workshop format; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	RL0001	Lubricante ProLub	Lubricantes		3250.0	8000.0	True	inventory	1	1	high-signal category: Lubricantes; chemical/service fluid
candidate	workshop_consumable	review_and_convert	high	12	8436577114741	Lubricante de Cadena Blub Spray 450ML	Lubricantes	TeknoBike	6270.0	15990.0	True	inventory	0	0	high-signal category: Lubricantes; bulk workshop format; chemical/service fluid
candidate	workshop_consumable	review_and_convert	high	12	5013863030744	Lubricante de Cadena TF2 Weldtite con Teflón 400 ml	Lubricantes	Andes Life	10079.0	19990.0	True	inventory	0	0	high-signal category: Lubricantes; bulk workshop format; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	2450170007140007	Aceite Mineral para Freno Hidráulico Shimano SM-DB-OIL	Líquido Frenos		32.0	50.0	True	inventory	759	759	high-signal category: Líquido Frenos; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	14	6009685090348	Liquido Antipinchazos Squirt Seal Beadblock 1litro	Líquido Tubeless	TeknoBike	17.97	50.0	True	inventory	30	30	high-signal category: Líquido Tubeless; bulk workshop format; chemical/service fluid; tubeless service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	14	RL0007	Sellador Tubeless 1000cc	Líquido Tubeless	RaceLub	12900.0	30000.0	True	inventory	1	1	high-signal category: Líquido Tubeless; bulk workshop format; chemical/service fluid; tubeless service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	BPS006	Wistio - O'ring Válvula Tubeless - 1 unidad	O'rings	Bikepointstore	84.0	350.0	True	inventory	9	9	medium-signal category: O'rings; service fitting; tubeless service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	P002493017282	PARCHE 48 UND. THUMBS UP NO TOLUENO COMPATIBLE / GENERICO	Parches	Andes Industrial	25.83	200.0	True	inventory	326	326	high-signal category: Parches; repair consumable
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	12	PO02722000077	PARCHE CAJA 100 UND. RECTANGULAR ROJO-SUN COMPATIBLE / GENERICO	Parches	Andes Industrial	18.3	200.0	True	inventory	6	6	high-signal category: Parches; bulk pack; repair consumable
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	AE0014	Parche Glueless RideRace 1 Un	Parches	Aliexpress	160.0	400.0	True	inventory	2	2	high-signal category: Parches; repair consumable
candidate	workshop_consumable	review_and_convert	high	8	AE0036	Parche Thumbs Up 1Un	Parches	Aliexpress	130.0	300.0	True	inventory	0	0	high-signal category: Parches; repair consumable
candidate	workshop_consumable	review_and_convert	high	8	716281220302	Set De Parches+soluc 5 P Slime Neumat Radial 2030-	Parches	MKR	1650.0	3490.0	True	inventory	0	0	high-signal category: Parches; repair consumable
candidate	workshop_consumable	review_and_convert	high	8	25340	Set Parches THUMBS UP 24U 32x50mm + Solución 20ml.	Parches		1490.0	3500.0	True	inventory	0	0	high-signal category: Parches; repair consumable
candidate	workshop_consumable	review_and_convert	high	8	23406	Pegamento para Parches, 12 Unidades, 20ml	Pegamento parches		2990.0	7100.0	True	inventory	0	0	high-signal category: Pegamento parches; repair consumable
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	11	PO02609000382	SOLUCION 20CC. THUMBS - NO TOLUENO 1 Unidad COMPATIBLE / GENERICO	Pegamento parches	Andes Industrial	286.66	1000.0	True	inventory	9	9	high-signal category: Pegamento parches; chemical/service fluid; repair consumable
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	PO02776019302	PERNO EJE CUADRADO TIPO SHIMANO MINIMO VENTA MULTIPLOS DE 20	Pernos/Tornillos/Otros		240.0	800.0	True	inventory	11	11	medium-signal category: Pernos/Tornillos/Otros; bulk pack; small workshop hardware
candidate	workshop_consumable	review_and_convert	high	10	5013863030423	Silicona protectora Weldtite Aerosol 500 ml silicon shine	Silicona	Andes Life	5037.0	11990.0	True	inventory	0	0	medium-signal category: Silicona; bulk workshop format; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	high	8	AE0234	Obús Válvula Deemount F/V 1Un	Válvula Tubeless	Aliexpress	258.42	1500.0	True	inventory	10	10	medium-signal category: Válvula Tubeless; service fitting; tubeless service material
candidate	workshop_consumable	review_and_convert	medium	7	4100420060540	Limpiador Para Cadenas Bike Kettenreiniger Liqui Moly 400ml			3893.0	10000.0	True	inventory	0	0	bulk workshop format; chemical/service fluid
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	6	PO02136032480	FITTING HIDRAULICO ALLIGATOR MOD. HK-HST04	Fittings Hidráulicos	Andes Industrial	1240.0	3990.0	True	inventory	4	4	medium-signal category: Fittings Hidráulicos; service fitting
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	6	PO02317032484	FITTING HIDRAULICO ALLIGATOR MOD. HK-HST08	Fittings Hidráulicos	Andes Industrial	1710.0	4490.0	True	inventory	1	1	medium-signal category: Fittings Hidráulicos; service fitting
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	6	OL02	Oliva + Pin Magura	Fittings Hidráulicos	Aliexpress	449.5	1500.0	True	inventory	10	10	medium-signal category: Fittings Hidráulicos; service fitting
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	6	OL05	Oliva + Pin SRAM	Fittings Hidráulicos	Aliexpress	449.5	1500.0	True	inventory	10	10	medium-signal category: Fittings Hidráulicos; service fitting
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	6	OL03	Oliva + Pin Shimano BH59	Fittings Hidráulicos	Aliexpress	449.5	1500.0	True	inventory	7	7	medium-signal category: Fittings Hidráulicos; service fitting
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	6	OL04	Oliva + Pin Shimano BH90	Fittings Hidráulicos	Aliexpress	449.5	1500.0	True	inventory	10	10	medium-signal category: Fittings Hidráulicos; service fitting
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	6	OL01	Oliva + Pin Tektro	Fittings Hidráulicos	Aliexpress	449.5	1500.0	True	inventory	9	9	medium-signal category: Fittings Hidráulicos; service fitting
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	6	REP70000037	Oliva Alligator Compatible SHIMANO	Fittings Hidráulicos	BeldaBike	490.0	1000.0	True	inventory	10	10	medium-signal category: Fittings Hidráulicos; service fitting
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	2000000113661	Cable Delanter 0.85 m Tope Barril Mtb	Fundas y piolas	MKR	149.5	500.0	True	inventory	20	20	medium-signal category: Fundas y piolas; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	2000000113616	Cable Traser 1.40cms Tope Barril Mtb	Fundas y piolas	MKR	171.45	700.0	True	inventory	17	17	medium-signal category: Fundas y piolas; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	C483	Funda De Cambio Unex 1 M Negro	Fundas y piolas	MKR	950.0	2300.0	True	inventory	15	15	medium-signal category: Fundas y piolas; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	2000000113692	Funda Freno Teflon Taiwan	Fundas y piolas	MKR	383.6	1000.0	True	inventory	77	77	medium-signal category: Fundas y piolas; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	S55197	Funda de cambio shimano sp40 300mm	Fundas y piolas	Andes Industrial	198.0	1000.0	True	inventory	1	1	medium-signal category: Fundas y piolas; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	C001	Piola 1.2 Mm X 2100 Mm Para Cambio	Fundas y piolas	MKR	265.0	800.0	True	inventory	9	9	medium-signal category: Fundas y piolas; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	NNV129	Piola Bicicleta Ruta Pera Garozzo	Fundas y piolas	Garozzo	400.0	600.0	True	inventory	4	4	medium-signal category: Fundas y piolas; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	C004	Piola de Freno MTB 1.2 (m) MKR	Fundas y piolas	MKR	257.0	800.0	True	inventory	8	8	medium-signal category: Fundas y piolas; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	NNV174	Terminal Punta Piola Cambio y Freno Colores	Fundas y piolas	Aliexpress	52.0	100.0	True	inventory	288	288	medium-signal category: Fundas y piolas; cable/housing service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	AE0047	Kit Tubeless Tripas Deemount	Tripas Tubeless	Aliexpress	5122.33	9200.0	True	inventory	3	3	medium-signal category: Tripas Tubeless; tubeless service material
candidate	workshop_consumable	review_and_convert	medium	5	AE0003	Cinta Tubeless Deemount 10Mt, 21mm	Tubeless	Aliexpress	2908.0	5990.0	True	inventory	0	0	medium-signal category: Tubeless; tubeless service material
candidate	workshop_consumable	review_and_convert	medium	5	AE0004	Cinta Tubeless Deemount 10Mt, 23mm	Tubeless	Aliexpress	3099.0	6990.0	True	inventory	0	0	medium-signal category: Tubeless; tubeless service material
candidate	workshop_consumable	review_and_convert	medium	5	AE0005	Cinta Tubeless Deemount 10Mt, 25mm	Tubeless	Aliexpress	3331.0	6990.0	True	inventory	0	0	medium-signal category: Tubeless; tubeless service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	AE0006	Cinta Tubeless Deemount 10Mt, 27mm	Tubeless	Aliexpress	3583.0	7990.0	True	inventory	1	1	medium-signal category: Tubeless; tubeless service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	AE0209	Cinta Tubeless GOLDIX 1Mt 25mm	Tubeless	Aliexpress	147.24	1000.0	True	inventory	44	44	medium-signal category: Tubeless; tubeless service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	AE0166	Cinta Tubeless GOLDIX 1Mt, 20mm	Tubeless	Aliexpress	118.62	1000.0	True	inventory	50	50	medium-signal category: Tubeless; tubeless service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	AE0153	Cinta Tubeless GOLDIX 1Mt, 30mm	Tubeless	Aliexpress	141.32	1000.0	True	inventory	50	50	medium-signal category: Tubeless; tubeless service material
candidate	workshop_consumable	review_and_convert	medium	5	AE0152	Válvula Tubeless MANA F/V 1 Un. 50mm	Válvula Tubeless	Aliexpress	2327.0	6000.0	True	inventory	0	0	medium-signal category: Válvula Tubeless; tubeless service material
candidate	workshop_consumable	review_and_convert_with_stock_reclassification	medium	5	BPS005	Wistio - Núcleo de Valvula F/V - Unidad	Válvula Tubeless	Bikepointstore	502.0	1500.0	True	inventory	1	1	medium-signal category: Válvula Tubeless; tubeless service material
